# Last updated: February 2026
sha1,name,cover,system
DD6E952B730C4BD85F8734156D43A2616B68C053,007: The World Is Not Enough,1/4/9/8149_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
DD6E952B730C4BD85F8734156D43A2616B68C053,007: The World Is Not Enough,1/5/0/8150_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
EB0A65DC3069AE5261B04437FFAC5EFC12697C2A,10-Pin Bowling,,71747cdb-f026-4fea-a645-6eed365d218c
90D78BF2F51EED998002D8733D6E223B6478F487,10-Pin Bowling,,71747cdb-f026-4fea-a645-6eed365d218c
EAF3BD27CF7CB084068C5A139DA5383A74105FFA,102 Dalmatas: Cachorros Al Rescate,,71747cdb-f026-4fea-a645-6eed365d218c
9F0F45D84E60E9C6F52FDE14E1C0A49992AED025,102 Dalmatians: Puppies to the Rescue,7/6/7/9767_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
9F0F45D84E60E9C6F52FDE14E1C0A49992AED025,102 Dalmatians: Puppies to the Rescue,7/6/8/9768_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
BA028395DE3456DC232BAC24EDA84A30E15F5550,Les 102 Dalmatiens a la Rescousse,,71747cdb-f026-4fea-a645-6eed365d218c
69109B87DAE04FCB9B65374165527D03845A2DC3,102 Dalmatiner,,71747cdb-f026-4fea-a645-6eed365d218c
D960E951B18D07E79D046313DF49C18313664224,1942,3/4/7/10347_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
D960E951B18D07E79D046313DF49C18313664224,1942,3/4/8/10348_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
2B704415803CF6172A1D07912B1155C51576A511,3-D Ultra Pinball: Thrillride,5/3/3/10533_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
11EE7BA924F80E1C546AF4749EA46AC5C8C75A5D,3D Pocket Pool,4/3/6/42436_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
369E359D1B9A80FDDA756411A395594B3D955100,4x4 World Trophy,3/6/7/38367_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
78C0117C8EE32CFA605AC34EEDF707CC535B3987,720 Degrees,1/1/8/43118_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
78C0117C8EE32CFA605AC34EEDF707CC535B3987,720 Degrees,1/1/7/43117_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
4B62B0344B8FED07CEB967F9A9C45BBEED3DC592,Action Man: Search for Base X,7/4/8/12748_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
4B62B0344B8FED07CEB967F9A9C45BBEED3DC592,Action Man: Search for Base X,7/4/9/12749_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
